"Category","Name","Output","Status","PreviousModified","CompletedAt"
"内容运营","社群增长与运营专家","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\社群增长与运营专家.png","done","2026-06-01 17:28:14","2026-06-09 17:24:39"
"内容运营","私域流量运营师","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\私域流量运营师.png","done","2026-06-01 17:31:36","2026-06-09 17:29:13"
"内容运营","微博运营策略师","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\微博运营策略师.png","done","2026-06-01 17:35:04","2026-06-09 17:32:19"
"内容运营","微信视频号运营策略师","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\微信视频号运营策略师.png","done","2026-06-01 17:38:44","2026-06-09 17:36:00"
"内容运营","小红书爆款操盘手","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\小红书爆款操盘手.png","done","2026-06-01 17:43:09","2026-06-09 17:43:21"
"内容运营","知乎策略师","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\知乎策略师.png","pending","2026-06-01 17:50:22",""
"内容运营","直播短视频电商专家","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\直播短视频电商专家.png","done","2026-06-01 18:00:43","2026-06-09 18:00:41"
"人力资源","绩效管理专家","C:\Users\14420\Desktop\bushu\重绘头像\人力资源\绩效管理专家.png","done","2026-06-01 18:05:57","2026-06-09 18:06:01"
"人力资源","招聘专家","C:\Users\14420\Desktop\bushu\重绘头像\人力资源\招聘专家.png","done","2026-06-01 18:10:06","2026-06-09 18:12:41"
"销售增长","PPC竞价策略师","C:\Users\14420\Desktop\bushu\重绘头像\销售增长\PPC竞价策略师.png","done","2026-06-01 18:20:01","2026-06-09 18:20:53"
"销售增长","电商客服自动化专家","C:\Users\14420\Desktop\bushu\重绘头像\销售增长\电商客服自动化专家.png","done","2026-06-01 18:26:22","2026-06-09 18:26:03"
"销售增长","广告创意策略师","C:\Users\14420\Desktop\bushu\重绘头像\销售增长\广告创意策略师.png","pending","2026-06-01 18:30:53",""
"销售增长","全渠道客户管理专家","C:\Users\14420\Desktop\bushu\重绘头像\销售增长\全渠道客户管理专家.png","pending","2026-06-01 18:39:37",""
"销售增长","售前工程师","C:\Users\14420\Desktop\bushu\重绘头像\销售增长\售前工程师.png","pending","2026-06-01 18:43:51",""
"销售增长","投标策略师","C:\Users\14420\Desktop\bushu\重绘头像\销售增长\投标策略师.png","pending","2026-06-01 18:48:45",""
"销售增长","销售教练","C:\Users\14420\Desktop\bushu\重绘头像\销售增长\销售教练.png","pending","2026-06-01 18:53:36",""
"营销增长","AI引文策略师","C:\Users\14420\Desktop\bushu\重绘头像\营销增长\AI引文策略师.png","pending","2026-06-01 19:05:25",""
"营销增长","百度SEO专家","C:\Users\14420\Desktop\bushu\重绘头像\营销增长\百度SEO专家.png","pending","2026-06-01 19:12:37",""
"营销增长","动态定价策略师","C:\Users\14420\Desktop\bushu\重绘头像\营销增长\动态定价策略师.png","pending","2026-06-01 19:17:16",""
"营销增长","轮播图增长引擎","C:\Users\14420\Desktop\bushu\重绘头像\营销增长\轮播图增长引擎.png","pending","2026-06-01 19:28:51",""
"营销增长","增长专家","C:\Users\14420\Desktop\bushu\重绘头像\营销增长\增长专家.png","pending","2026-06-01 19:33:33",""
