"Category","Name","Source","Output","Status"
"ai教育","作业批改与学情分析专家","C:\Users\14420\Desktop\bushu\头像\ai教育\作业批改与学情分析专家.png","C:\Users\14420\Desktop\bushu\重绘头像\ai教育\作业批改与学情分析专家.png","done"
"AI应用","AI工程师","C:\Users\14420\Desktop\bushu\头像\AI应用\AI工程师.png","C:\Users\14420\Desktop\bushu\重绘头像\AI应用\AI工程师.png","done"
"AI应用","提示词工程师","C:\Users\14420\Desktop\bushu\头像\AI应用\提示词工程师.png","C:\Users\14420\Desktop\bushu\重绘头像\AI应用\提示词工程师.png","done"
"AI应用","图像提示词工程师","C:\Users\14420\Desktop\bushu\头像\AI应用\图像提示词工程师.png","C:\Users\14420\Desktop\bushu\重绘头像\AI应用\图像提示词工程师.png","done"
"办公提效类","Excel数据处理专家","C:\Users\14420\Desktop\bushu\头像\办公提效类\Excel数据处理专家.png","C:\Users\14420\Desktop\bushu\重绘头像\办公提效类\Excel数据处理专家.png","done"
"办公提效类","PDF文档处理专家","C:\Users\14420\Desktop\bushu\头像\办公提效类\PDF文档处理专家.png","C:\Users\14420\Desktop\bushu\重绘头像\办公提效类\PDF文档处理专家.png","done"
"办公提效类","PPT演示制作专家","C:\Users\14420\Desktop\bushu\头像\办公提效类\PPT演示制作专家.png","C:\Users\14420\Desktop\bushu\重绘头像\办公提效类\PPT演示制作专家.png","done"
"办公提效类","Word文档排版专家","C:\Users\14420\Desktop\bushu\头像\办公提效类\Word文档排版专家.png","C:\Users\14420\Desktop\bushu\重绘头像\办公提效类\Word文档排版专家.png","done"
"办公提效类","高级数据分析师","C:\Users\14420\Desktop\bushu\头像\办公提效类\高级数据分析师.png","C:\Users\14420\Desktop\bushu\重绘头像\办公提效类\高级数据分析师.png","done"
"办公提效类","公文写作与日程管理专家","C:\Users\14420\Desktop\bushu\头像\办公提效类\公文写作与日程管理专家.png","C:\Users\14420\Desktop\bushu\重绘头像\办公提效类\公文写作与日程管理专家.png","done"
"办公提效类","会议效率专家","C:\Users\14420\Desktop\bushu\头像\办公提效类\会议效率专家.png","C:\Users\14420\Desktop\bushu\重绘头像\办公提效类\会议效率专家.png","done"
"办公提效类","日程管理专家","C:\Users\14420\Desktop\bushu\头像\办公提效类\日程管理专家.png","C:\Users\14420\Desktop\bushu\重绘头像\办公提效类\日程管理专家.png","done"
"办公提效类","腾讯文档专家","C:\Users\14420\Desktop\bushu\头像\办公提效类\腾讯文档专家.png","C:\Users\14420\Desktop\bushu\重绘头像\办公提效类\腾讯文档专家.png","done"
"办公提效类","文件对比专家","C:\Users\14420\Desktop\bushu\头像\办公提效类\文件对比专家.png","C:\Users\14420\Desktop\bushu\重绘头像\办公提效类\文件对比专家.png","done"
"办公提效类","周报日报生成器","C:\Users\14420\Desktop\bushu\头像\办公提效类\周报日报生成器.png","C:\Users\14420\Desktop\bushu\重绘头像\办公提效类\周报日报生成器.png","pending"
"产品策略","产品经理","C:\Users\14420\Desktop\bushu\头像\产品策略\产品经理.png","C:\Users\14420\Desktop\bushu\重绘头像\产品策略\产品经理.png","pending"
"产品策略","反馈分析师","C:\Users\14420\Desktop\bushu\头像\产品策略\反馈分析师.png","C:\Users\14420\Desktop\bushu\重绘头像\产品策略\反馈分析师.png","pending"
"产品策略","高级市场研究员","C:\Users\14420\Desktop\bushu\头像\产品策略\高级市场研究员.png","C:\Users\14420\Desktop\bushu\重绘头像\产品策略\高级市场研究员.png","pending"
"产品策略","竞品情报特工","C:\Users\14420\Desktop\bushu\头像\产品策略\竞品情报特工.png","C:\Users\14420\Desktop\bushu\重绘头像\产品策略\竞品情报特工.png","done-sample"
"产品策略","趋势研究员","C:\Users\14420\Desktop\bushu\头像\产品策略\趋势研究员.png","C:\Users\14420\Desktop\bushu\重绘头像\产品策略\趋势研究员.png","pending"
"内容生成","爆款拆解复刻师","C:\Users\14420\Desktop\bushu\头像\内容生成\爆款拆解复刻师.png","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\爆款拆解复刻师.png","pending"
"内容生成","短视频剪辑指导师","C:\Users\14420\Desktop\bushu\头像\内容生成\短视频剪辑指导师.png","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\短视频剪辑指导师.png","pending"
"内容生成","商品文案与Listing专家","C:\Users\14420\Desktop\bushu\头像\内容生成\商品文案与Listing专家.png","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\商品文案与Listing专家.png","pending"
"内容生成","社媒排期官","C:\Users\14420\Desktop\bushu\头像\内容生成\社媒排期官.png","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\社媒排期官.png","pending"
"内容生成","通用写作助手","C:\Users\14420\Desktop\bushu\头像\内容生成\通用写作助手.png","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\通用写作助手.png","pending"
"内容生成","小说故事创作专家","C:\Users\14420\Desktop\bushu\头像\内容生成\小说故事创作专家.png","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\小说故事创作专家.png","pending"
"内容生成","知识付费产品策划师","C:\Users\14420\Desktop\bushu\头像\内容生成\知识付费产品策划师.png","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\知识付费产品策划师.png","pending"
"内容生成","自媒体热点猎手","C:\Users\14420\Desktop\bushu\头像\内容生成\自媒体热点猎手.png","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\自媒体热点猎手.png","pending"
"内容生成","自媒体数据分析专家","C:\Users\14420\Desktop\bushu\头像\内容生成\自媒体数据分析专家.png","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\自媒体数据分析专家.png","pending"
"内容生成","自媒体文案生产专家","C:\Users\14420\Desktop\bushu\头像\内容生成\自媒体文案生产专家.png","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\自媒体文案生产专家.png","pending"
"内容生成","自媒体选题策划师","C:\Users\14420\Desktop\bushu\头像\内容生成\自媒体选题策划师.png","C:\Users\14420\Desktop\bushu\重绘头像\内容生成\自媒体选题策划师.png","pending"
"内容运营","电商选品调研专家","C:\Users\14420\Desktop\bushu\头像\内容运营\电商选品调研专家.png","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\电商选品调研专家.png","pending"
"内容运营","抖音策略师","C:\Users\14420\Desktop\bushu\头像\内容运营\抖音策略师.png","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\抖音策略师.png","pending"
"内容运营","短视频热点猎手","C:\Users\14420\Desktop\bushu\头像\内容运营\短视频热点猎手.png","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\短视频热点猎手.png","pending"
"内容运营","公众号涨粉笔杆子","C:\Users\14420\Desktop\bushu\头像\内容运营\公众号涨粉笔杆子.png","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\公众号涨粉笔杆子.png","pending"
"内容运营","快手策略师","C:\Users\14420\Desktop\bushu\头像\内容运营\快手策略师.png","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\快手策略师.png","pending"
"内容运营","社群增长与运营专家","C:\Users\14420\Desktop\bushu\头像\内容运营\社群增长与运营专家.png","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\社群增长与运营专家.png","pending"
"内容运营","私域流量运营师","C:\Users\14420\Desktop\bushu\头像\内容运营\私域流量运营师.png","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\私域流量运营师.png","pending"
"内容运营","微博运营策略师","C:\Users\14420\Desktop\bushu\头像\内容运营\微博运营策略师.png","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\微博运营策略师.png","pending"
"内容运营","微信视频号运营策略师","C:\Users\14420\Desktop\bushu\头像\内容运营\微信视频号运营策略师.png","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\微信视频号运营策略师.png","pending"
"内容运营","小红书爆款操盘手","C:\Users\14420\Desktop\bushu\头像\内容运营\小红书爆款操盘手.png","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\小红书爆款操盘手.png","pending"
"内容运营","知乎策略师","C:\Users\14420\Desktop\bushu\头像\内容运营\知乎策略师.png","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\知乎策略师.png","pending"
"内容运营","直播电商主播教练","C:\Users\14420\Desktop\bushu\头像\内容运营\直播电商主播教练.png","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\直播电商主播教练.png","done-sample"
"内容运营","直播短视频电商专家","C:\Users\14420\Desktop\bushu\头像\内容运营\直播短视频电商专家.png","C:\Users\14420\Desktop\bushu\重绘头像\内容运营\直播短视频电商专家.png","pending"
"人力资源","绩效管理专家","C:\Users\14420\Desktop\bushu\头像\人力资源\绩效管理专家.png","C:\Users\14420\Desktop\bushu\重绘头像\人力资源\绩效管理专家.png","pending"
"人力资源","招聘专家","C:\Users\14420\Desktop\bushu\头像\人力资源\招聘专家.png","C:\Users\14420\Desktop\bushu\重绘头像\人力资源\招聘专家.png","pending"
"销售增长","PPC竞价策略师","C:\Users\14420\Desktop\bushu\头像\销售增长\PPC竞价策略师.png","C:\Users\14420\Desktop\bushu\重绘头像\销售增长\PPC竞价策略师.png","pending"
"销售增长","电商客服自动化专家","C:\Users\14420\Desktop\bushu\头像\销售增长\电商客服自动化专家.png","C:\Users\14420\Desktop\bushu\重绘头像\销售增长\电商客服自动化专家.png","pending"
"销售增长","广告创意策略师","C:\Users\14420\Desktop\bushu\头像\销售增长\广告创意策略师.png","C:\Users\14420\Desktop\bushu\重绘头像\销售增长\广告创意策略师.png","pending"
"销售增长","库存预测专家","C:\Users\14420\Desktop\bushu\头像\销售增长\库存预测专家.png","C:\Users\14420\Desktop\bushu\重绘头像\销售增长\库存预测专家.png","done-sample"
"销售增长","全渠道客户管理专家","C:\Users\14420\Desktop\bushu\头像\销售增长\全渠道客户管理专家.png","C:\Users\14420\Desktop\bushu\重绘头像\销售增长\全渠道客户管理专家.png","pending"
"销售增长","售前工程师","C:\Users\14420\Desktop\bushu\头像\销售增长\售前工程师.png","C:\Users\14420\Desktop\bushu\重绘头像\销售增长\售前工程师.png","pending"
"销售增长","投标策略师","C:\Users\14420\Desktop\bushu\头像\销售增长\投标策略师.png","C:\Users\14420\Desktop\bushu\重绘头像\销售增长\投标策略师.png","pending"
"销售增长","销售教练","C:\Users\14420\Desktop\bushu\头像\销售增长\销售教练.png","C:\Users\14420\Desktop\bushu\重绘头像\销售增长\销售教练.png","pending"
"营销增长","AI引文策略师","C:\Users\14420\Desktop\bushu\头像\营销增长\AI引文策略师.png","C:\Users\14420\Desktop\bushu\重绘头像\营销增长\AI引文策略师.png","pending"
"营销增长","百度SEO专家","C:\Users\14420\Desktop\bushu\头像\营销增长\百度SEO专家.png","C:\Users\14420\Desktop\bushu\重绘头像\营销增长\百度SEO专家.png","pending"
"营销增长","动态定价策略师","C:\Users\14420\Desktop\bushu\头像\营销增长\动态定价策略师.png","C:\Users\14420\Desktop\bushu\重绘头像\营销增长\动态定价策略师.png","pending"
"营销增长","轮播图增长引擎","C:\Users\14420\Desktop\bushu\头像\营销增长\轮播图增长引擎.png","C:\Users\14420\Desktop\bushu\重绘头像\营销增长\轮播图增长引擎.png","pending"
"营销增长","增长专家","C:\Users\14420\Desktop\bushu\头像\营销增长\增长专家.png","C:\Users\14420\Desktop\bushu\重绘头像\营销增长\增长专家.png","pending"
